id,name,security_status,constellation_id
30000001,'Tanoo',0.8583240509033203,20000001
30000002,'Lashesih',0.7516891360282898,20000001
30000003,'Akpivem',0.8462923765182495,20000001
30000004,'Jark',0.8170005083084106,20000001
30000005,'Sasta',0.8143367171287537,20000001
30000006,'Zaid',0.864229142665863,20000001
30000007,'Yuzier',0.9065555334091187,20000001
30000008,'Nirbhi',0.8821157217025757,20000001
30000009,'Sooma',0.5778194665908813,20000002
30000010,'Chidah',0.5390520095825195,20000002
30000011,'Shenela',0.4569593667984009,20000002
30000012,'Asabona',0.3228842616081238,20000002
30000013,'Onsooh',0.4428166449069977,20000002
30000014,'Shamahi',0.3552422821521759,20000002
30000015,'Sendaya',0.2939329743385315,20000002
30000016,'Nazhgete',0.39149704575538635,20000002
30000017,'Futzchag',0.17222855985164642,20000003
30000018,'Kazna',0.23126262426376343,20000003
30000019,'Podion',0.10970497131347656,20000003
30000020,'Lilmad',0.16044919192790985,20000003
30000021,'Kuharah',-1.0,20000788
30000022,'Jayneleb',0.11383995413780212,20000003
30000023,'Fovihi',0.8693943619728088,20000004
30000024,'Kiereend',0.8408345580101013,20000004
30000025,'Rashy',0.8032659888267517,20000004
30000026,'Ordize',0.6955641508102417,20000004
30000027,'Psasa',0.7499132752418518,20000004
30000028,'Eshtah',0.7684326171875,20000004
30000029,'Lachailes',0.5730512142181396,20000004
30000030,'Kasrasi',0.5730756521224976,20000004
30000031,'Mohas',0.6817834377288818,20000005
30000032,'Hasiari',0.7981876134872437,20000005
30000033,'Radima',0.7539199590682983,20000005
30000034,'Alkez',0.7821229100227356,20000005
30000035,'Nimambal',0.5940505862236023,20000005
30000036,'Yishinoon',0.4247181713581085,20000005
30000037,'Uplingur',0.4220693111419678,20000005
30000038,'Dooz',0.4237288534641266,20000006
30000039,'Bayuka',0.40072202682495117,20000006
30000040,'Uzistoon',0.3906455934047699,20000006
30000041,'Bairshir',0.3640877604484558,20000006
30000042,'Moh',0.4728350043296814,20000006
30000043,'Sari',0.3793431222438812,20000006
30000044,'Faspera',0.12825848162174225,20000007
30000045,'Jaymass',0.21631133556365967,20000007
30000046,'Mifrata',0.3038029968738556,20000007
30000047,'Majamar',0.36918625235557556,20000007
30000048,'Ihal',0.4927012324333191,20000007
30000049,'Camal',0.21297688782215118,20000007
30000050,'Fera',0.47724634408950806,20000007
30000051,'Juddi',0.6491366624832153,20000008
30000052,'Maspah',0.7999009490013123,20000008
30000053,'Ibaria',0.7309787273406982,20000008
30000054,'Shala',0.7155637741088867,20000008
30000055,'Zemalu',0.7251585125923157,20000008
30000056,'Khankenirdia',0.6135958433151245,20000008
30000057,'Nikh',0.7741984724998474,20000009
30000058,'Amphar',0.7021870017051697,20000009
30000059,'Salashayama',0.6655862331390381,20000009
30000060,'Janus',0.5455705523490906,20000009
30000061,'Agha',0.7187826037406921,20000009
30000062,'Iosantin',0.4503433406352997,20000009
30000063,'Orva',0.5099495649337769,20000009
30000064,'Zet',0.5696976780891418,20000009
30000065,'Akhrad',0.35847651958465576,20000009
30000066,'Pirohdim',0.628696084022522,20000009
30000067,'Sharir',0.3968486785888672,20000009
30000068,'Usroh',0.5974575281143188,20000009
30000069,'Thiarer',0.542032778263092,20000009
30000070,'Gomati',0.38742130994796753,20000010
30000071,'Jangar',0.527328610420227,20000010
30000072,'Nakah',0.36386433243751526,20000010
30000073,'Irshah',0.42950665950775146,20000010
30000074,'Hasateem',0.4264964163303375,20000010
30000075,'Assah',0.297802209854126,20000010
30000076,'Tidacha',0.8200990557670593,20000011
30000077,'Odlib',0.8245165944099426,20000011
30000078,'Jofan',0.7795482277870178,20000011
30000079,'Milu',0.7696253061294556,20000011
30000080,'Yadi',0.7502684593200684,20000011
30000081,'Buftiar',0.708741307258606,20000011
30000082,'Jarizza',0.7654309868812561,20000012
30000083,'Ejahi',0.7289102077484131,20000012
30000084,'Asghatil',0.7947781682014465,20000012
30000085,'Bar',0.6658381223678589,20000012
30000086,'Sucha',0.6582648158073425,20000012
30000087,'Gelhan',0.7016764283180237,20000012
30000088,'Akeva',0.6648348569869995,20000012
30000089,'Sosa',0.30117902159690857,20000013
30000090,'Ilahed',0.31594347953796387,20000013
30000091,'Eshwil',0.218968465924263,20000013
30000092,'Aranir',0.24278861284255981,20000013
30000093,'Ishkad',0.3660355508327484,20000013
30000094,'Hahyil',0.2081148475408554,20000013
30000095,'Asilem',0.28499770164489746,20000014
30000096,'Mahnagh',0.20500338077545166,20000014
30000097,'Shach',0.3260430693626404,20000014
30000098,'Kehrara',0.36484402418136597,20000014
30000099,'Arena',0.44232988357543945,20000014
30000100,'Timeor',0.31413108110427856,20000014
30000101,'Uhtafal',0.4996122717857361,20000014
30000102,'Dysa',0.23619531095027924,20000014
30000103,'Serad',0.5258363485336304,20000014
30000104,'Mahti',0.22828178107738495,20000014
30000105,'Abha',0.43410131335258484,20000014
30000106,'Shedoo',0.5061177611351013,20000015
30000107,'Gamis',0.47390615940093994,20000015
30000108,'Nieril',0.35344019532203674,20000015
30000109,'Berta',0.4895572364330292,20000015
30000110,'Bekirdod',0.40534910559654236,20000015
30000111,'Hothomouh',0.42298102378845215,20000015
30000112,'Arnola',0.4628354012966156,20000016
30000113,'Astabih',0.4088175892829895,20000016
30000114,'Ubtes',0.33607324957847595,20000016
30000115,'Bimener',0.27004119753837585,20000016
30000116,'Kenobanala',0.28939834237098694,20000016
30000117,'Khabi',0.24861861765384674,20000016
30000118,'Uanzin',0.433972030878067,20000016
30000119,'Itamo',0.67173832654953,20000017
30000120,'Mitsolen',0.6337059736251831,20000017
30000121,'Jatate',0.6374281048774719,20000017
30000122,'Mahtista',0.6582375764846802,20000017
30000123,'Vaankalen',0.64717036485672,20000017
30000124,'Kylmabe',0.7319313287734985,20000017
30000125,'Ahtulaima',0.6126888990402222,20000017
30000126,'Geras',0.650146484375,20000018
30000127,'Sirseshin',0.7479928135871887,20000018
30000128,'Tuuriainas',0.6108489036560059,20000018
30000129,'Unpas',0.9459645748138428,20000018
30000130,'Shihuken',0.874584972858429,20000018
30000131,'Nomaa',0.6069360971450806,20000018
30000132,'Ansila',0.9120169878005981,20000019
30000133,'Hirtamon',0.9747262001037598,20000019
30000134,'Hykkota',0.8236534595489502,20000019
30000135,'Outuni',0.7341722846031189,20000019
30000136,'Ohmahailen',0.6638108491897583,20000019
